EMP_ID,Number of Call Records,AE - AI %,Avg Listen Ratio,% Calls with Questions,Ae - Next Step %,% Calls with Objections,% Calls with Competitor Mentions,ACV,PG,Quota,START_DATE,END_DATE,OFFERING_ID
859055,0,0.0,0.0,0.0,0.0,0.0,0.0,1170,1055910,0,2023-06-01,2023-09-01,ECI_treated_Sep2023
859024,0,0.0,0.0,0.0,0.0,0.0,0.0,16248,40305,0,2023-09-01,2023-09-30,ECI_treated_Sep2023
858980,0,0.0,0.0,0.0,0.0,0.0,0.0,4547,585947,7338,2023-09-01,2023-09-30,ECI_treated_Sep2023
858980,0,0.0,0.0,0.0,0.0,0.0,0.0,3773,470945,0,2023-06-01,2023-09-01,ECI_treated_Sep2023
858968,0,0.0,0.0,0.0,0.0,0.0,0.0,14045,3121,0,2023-09-01,2023-09-30,ECI_treated_Sep2023
858854,0,0.0,0.0,0.0,0.0,0.0,0.0,1678,41909,25358,2023-09-01,2023-09-30,ECI_treated_Sep2023
858773,0,0.0,0.0,0.0,0.0,0.0,0.0,1638,1638,21855,2023-09-01,2023-09-30,ECI_treated_Sep2023
858697,0,0.0,0.0,0.0,0.0,0.0,0.0,2694,308670,25358,2023-09-01,2023-09-30,ECI_treated_Sep2023
858697,0,0.0,0.0,0.0,0.0,0.0,0.0,16154,396512,0,2023-06-01,2023-09-01,ECI_treated_Sep2023
858464,0,0.0,0.0,0.0,0.0,0.0,0.0,5498,9047,25358,2023-09-01,2023-09-30,ECI_treated_Sep2023
858464,1,0.0,0.0,33.33333333,33.33333333,0.0,33.33,2664,78967,0,2023-06-01,2023-09-01,ECI_treated_Sep2023
858333,0,0.0,0.0,0.0,0.0,0.0,0.0,18845,75163,27347,2023-09-01,2023-09-30,ECI_treated_Sep2023
858333,0,0.0,0.0,0.0,0.0,0.0,0.0,8292,148523,0,2023-06-01,2023-09-01,ECI_treated_Sep2023
857942,0,0.0,0.0,0.0,0.0,0.0,0.0,761,22922,0,2023-06-01,2023-09-01,ECI_treated_Sep2023
857892,0,0.0,0.0,0.0,0.0,0.0,0.0,145411,1722629,33714,2023-09-01,2023-09-30,ECI_treated_Sep2023
857892,0,0.0,0.0,0.0,0.0,0.0,0.0,1776,850577,0,2023-06-01,2023-09-01,ECI_treated_Sep2023
857738,0,0.0,0.0,0.0,0.0,0.0,0.0,560,12560,19754,2023-09-01,2023-09-30,ECI_treated_Sep2023
857714,0,0.0,0.0,0.0,0.0,0.0,0.0,7682,129362,41483,2023-09-01,2023-09-30,ECI_treated_Sep2023
857714,0,0.0,0.0,0.0,0.0,0.0,0.0,210,166665,49780,2023-06-01,2023-09-01,ECI_treated_Sep2023
857534,0,0.0,0.0,0.0,0.0,0.0,0.0,13794,85711,18346,2023-09-01,2023-09-30,ECI_treated_Sep2023
