EMP_ID,MACROSEGMENT,REGION,MAPPEDMARKETSEGMENT,MAPPEDSELLINGROLE,SNAP_MONTH
100248,CMRCL,AMER,MM,Revenue Cloud AE,2023-09-01
100266,CMRCL,AMER,GB,Revenue Cloud AE,2023-09-01
100822,CMRCL,AMER,MM,Salesperson,2023-09-01
101004,CMRCL,AMER,GB,Revenue Cloud AE,2023-09-01
102956,CMRCL,AMER,GB,Salesperson,2023-09-01
700623,CMRCL,AMER,GB,Salesperson,2023-09-01
700957,CMRCL,AMER,MM,Sales Performance Management AE,2023-09-01
702466,CMRCL,AMER,MM,Service Cloud AE,2023-09-01
702888,CMRCL,EMEA,MM,Salesperson,2023-09-01
702921,CMRCL,AMER,SB,Salesperson,2023-09-01
703310,CMRCL,AMER,MM,Salesperson,2023-09-01
712205,CMRCL,AMER,GB,Salesperson,2023-09-01
712458,CMRCL,AMER,MM,Salesperson,2023-09-01
713244,CMRCL,AMER,GB,Salesperson,2023-09-01
713342,CMRCL,JAPAN,MM,Salesperson,2023-09-01
713709,CMRCL,AMER,MM,Salesperson,2023-09-01
713891,CMRCL,AMER,MM,Salesperson,2023-09-01
714958,CMRCL,AMER,MM,Regional MC AE,2023-09-01
715746,CMRCL,AMER,GB,Regional MC AE,2023-09-01
716642,CMRCL,AMER,GB,Regional MC AE,2023-09-01
716800,CMRCL,AMER,MM,Salesperson,2023-09-01
719869,CMRCL,AMER,GB,MuleSoft AE,2023-09-01
721049,CMRCL,AMER,GB,Salesperson,2023-09-01
721941,CMRCL,AMER,MM,Salesperson,2023-09-01
722778,CMRCL,AMER,GB,Service Cloud AE,2023-09-01
722821,CMRCL,AMER,MM,Salesperson,2023-09-01
723862,CMRCL,AMER,MM,Digital AE,2023-09-01
724318,CMRCL,AMER,GB,Salesperson,2023-09-01
724447,CMRCL,AMER,GB,Revenue Cloud AE,2023-09-01
725127,CMRCL,AMER,GB,Salesperson,2023-09-01
725822,CMRCL,AMER,GB,Salesperson,2023-09-01
726176,CMRCL,AMER,GB,Regional MC AE,2023-09-01
726887,CMRCL,AMER,GB,Salesperson,2023-09-01
727463,CMRCL,EMEA,MM,Salesperson,2023-09-01
727511,CMRCL,AMER,MM,Salesperson,2023-09-01
727871,CMRCL,AMER,GB,Service Cloud AE,2023-09-01
728152,CMRCL,AMER,MM,Salesperson,2023-09-01
